x_gyro,y_gyro,z_gyro,time
0.008773804,0.0256958,-0.0012512207,1508224059015
0.027954102,0.028884888,-0.006576538,1508224059035
-8.087158E-4,1.2207031E-4,-0.023620605,1508224059061
-0.018920898,-0.025436401,-0.021484375,1508224059087
0.008773804,0.015045166,-0.00869751,1508224059114
-0.0072021484,0.03315735,-0.021484375,1508224059147
-0.0040130615,0.03741455,-0.018295288,1508224059168
-0.012527466,0.026763916,-0.006576538,1508224059190
-0.016799927,-0.02331543,8.8500977E-4,1508224059213
-0.001876831,0.008651733,8.8500977E-4,1508224059235
0.019424438,1.2207031E-4,0.0040740967,1508224059267
0.0077056885,-0.026504517,8.8500977E-4,1508224059289
0.011962891,0.006515503,-0.006576538,1508224059316
0.008773804,0.016113281,-0.014038086,1508224059343
-0.021057129,-0.043548584,-0.02041626,1508224059376
2.4414062E-4,-0.005203247,-0.00869751,1508224059396
0.021560669,0.0043945312,-1.8310547E-4,1508224059425
0.011962891,0.0054473877,0.0030212402,1508224059440
-0.0029449463,-0.0030670166,-0.0012512207,1508224059461
-0.006134033,-0.024368286,-0.0033721924,1508224059483
-0.013595581,-0.0019989014,0.005142212,1508224059508
0.008773804,1.2207031E-4,0.006210327,1508224059530
0.009841919,-0.0030670166,-0.006576538,1508224059550
0.0077056885,0.0011901855,0.0030212402,1508224059589
-0.008270264,-0.014785767,-0.01083374,1508224059616
0.014099121,-0.028640747,-0.019363403,1508224059647
0.081207275,-0.052078247,-0.053451538,1508224059663
0.22076416,-0.20547485,-0.077941895,1508224059691
0.3848114,-0.1234436,-0.14186096,1508224059712
0.24099731,0.05871582,-0.13867188,1508224059733
-0.21386719,0.012908936,-0.10990906,1508224059760
-0.6655426,-0.31092834,-0.07368469,1508224059788
-1.0671387,-0.575119,0.021118164,1508224059821
-1.0852509,-0.36845398,0.082901,1508224059843
-0.9947052,-0.092544556,0.11593628,1508224059858
-0.82958984,0.06829834,0.12232971,1508224059879
-0.47273254,0.19932556,0.091430664,1508224059912
-0.29483032,0.06617737,0.105285645,1508224059928
-0.12971497,-0.080825806,0.08929443,1508224059944
0.14726257,-0.15327454,0.081848145,1508224059970
0.41889954,-0.115982056,0.07119751,1508224059991
0.5009308,-0.0073242188,0.039230347,1508224060012
0.3656311,0.032089233,0.029647827,1508224060030
0.14512634,0.0022583008,0.041366577,1508224060051
-0.0050811768,-0.0062713623,0.04988098,1508224060072
0.041793823,0.050201416,0.041366577,1508224060104
0.17814636,0.114105225,0.04988098,1508224060119
0.21969604,0.17269897,0.030715942,1508224060151
0.08866882,0.13861084,0.015792847,1508224060179
-0.0231781,0.08428955,-0.0076446533,1508224060206
-0.001876831,0.036346436,-0.018295288,1508224060222
0.09718323,0.052322388,-0.002319336,1508224060243
0.25378418,0.102386475,-0.014038086,1508224060266
0.2314148,0.11517334,-0.03213501,1508224060292
0.17707825,0.1002655,-0.038528442,1508224060313
0.15898132,0.18441772,-0.028945923,1508224060334
0.27189636,0.24833679,-0.014038086,1508224060350
0.33900452,0.23768616,-0.00869751,1508224060377
0.30065918,0.21318054,-0.005508423,1508224060398
0.27082825,0.15351868,-0.009765625,1508224060419
0.10784912,0.06724548,8.8500977E-4,1508224060460
0.092926025,0.029953003,0.0030212402,1508224060494
0.20478821,0.104522705,0.013671875,1508224060510
0.18347168,0.114105225,-1.8310547E-4,1508224060536
0.050323486,0.06829834,0.013671875,1508224060563
0.0066375732,0.019302368,0.040298462,1508224060599
-0.05088806,-0.0723114,0.03390503,1508224060620
-0.03916931,-0.038223267,0.0317688,1508224060640
0.032211304,-0.024368286,0.040298462,1508224060661
0.06416321,0.04699707,0.025390625,1508224060682
0.009841919,-0.0073242188,-0.00869751,1508224060702
-0.07751465,-0.053131104,-0.028945923,1508224060723
-0.0977478,-0.03929138,-0.02468872,1508224060754
0.016235352,0.1002655,-0.030014038,1508224060780
0.053512573,0.0491333,-0.019363403,1508224060806
-0.014663696,-0.004135132,-0.012969971,1508224060838
-0.0231781,-0.013717651,-0.002319336,1508224060858
-0.0050811768,-0.016921997,0.005142212,1508224060884
0.0034484863,0.01184082,-1.8310547E-4,1508224060900
-0.017852783,0.0043945312,-0.009765625,1508224060926
0.005584717,0.009719849,0.0072784424,1508224060947
0.043930054,0.0256958,0.010467529,1508224060974
0.0077056885,-0.03289795,-1.8310547E-4,1508224061010
0.0034484863,0.0011901855,0.006210327,1508224061047
0.038604736,-0.0030670166,-0.0033721924,1508224061063
0.0034484863,0.06724548,-0.0012512207,1508224061084
0.034347534,-0.015853882,0.001953125,1508224061111
0.057769775,0.06404114,-0.005508423,1508224061137
0.062042236,-0.019042969,-0.00869751,1508224061164
0.062042236,-0.0030670166,-0.0033721924,1508224061185
0.005584717,0.012908936,-0.023620605,1508224061217
-0.04449463,0.0022583008,-0.023620605,1508224061243
-0.043426514,1.2207031E-4,-0.006576538,1508224061264
-0.018920898,0.022491455,-0.002319336,1508224061285
-0.012527466,1.2207031E-4,-0.018295288,1508224061317
-0.008270264,0.010772705,-0.0044403076,1508224061338
0.016235352,-0.020111084,0.0030212402,1508224061361
0.0077056885,0.012908936,-0.014038086,1508224061408
0.05671692,0.012908936,-0.002319336,1508224061429
0.04711914,0.048065186,-0.0033721924,1508224061450
0.015167236,0.0022583008,-0.0033721924,1508224061471
-0.019989014,-0.022247314,0.001953125,1508224061500
-0.0050811768,-0.025436401,-1.8310547E-4,1508224061516
0.041793823,0.040603638,-0.006576538,1508224061538
-8.087158E-4,0.036346436,0.005142212,1508224061565
-0.031707764,-0.019042969,0.018997192,1508224061597
-0.016799927,-0.013717651,8.8500977E-4,1508224061618
0.015167236,0.013977051,-0.0119018555,1508224061638
0.036468506,0.032089233,-0.0044403076,1508224061659
0.0034484863,0.009719849,0.008346558,1508224061685
-0.0050811768,-0.016921997,0.001953125,1508224061701
0.0077056885,0.010772705,-1.8310547E-4,1508224061728
0.025817871,0.020370483,8.8500977E-4,1508224061754
-0.0050811768,-0.030761719,0.014724731,1508224061797
-0.011459351,1.2207031E-4,0.0030212402,1508224061818
0.03753662,0.008651733,0.0040740967,1508224061839
0.04925537,0.0256958,-0.0033721924,1508224061861
-0.008270264,-0.0019989014,-0.00869751,1508224061893
-0.024246216,0.0022583008,-1.8310547E-4,1508224061922
-0.0040130615,0.015045166,-1.8310547E-4,1508224061944
-0.015731812,0.015045166,-0.009765625,1508224061980
-0.016799927,0.019302368,-0.0033721924,1508224062003
0.009841919,0.008651733,0.008346558,1508224062025
0.06736755,-0.029693604,0.023254395,1508224062046
0.07376099,0.0725708,0.0040740967,1508224062067
