bPressT,bPage,bTime,aPage,aTime
1508224411290,192,1508224408593,193,1508224411332
1508224411925,193,1508224408593,194,1508224412003
1508224412549,194,1508224408593,195,1508224412596
1508224413217,195,1508224408593,196,1508224413302
1508224413856,196,1508224408593,197,1508224413908
1508224414527,197,1508224408593,198,1508224414612
1508224415214,198,1508224408593,199,1508224415282
1508224415954,199,1508224408593,200,1508224416007
1508224417023,200,1508224408593,201,1508224417107
1508224423021,201,1508224408593,202,1508224423064
1508224423635,202,1508224408593,203,1508224423725
1508224424463,203,1508224408593,204,1508224424525
1508224424762,204,1508224408593,205,1508224424840
1508224425504,205,1508224408593,206,1508224425561
1508224426186,206,1508224408593,207,1508224426238
1508224427217,207,1508224408593,208,1508224427276
1508224427974,208,1508224408593,209,1508224428047
1508224428830,209,1508224408593,210,1508224428867
1508224429630,210,1508224429676,211,1508224432156
1508224432879,211,1508224432952,212,1508224437892
1508224438834,212,1508224438893,213,1508224446315
1508224453452,213,1508224453531,214,1508224458457
1508224459025,214,1508224459114,213,1508224464072
1508224465602,213,1508224465667,214,1508224470595
1508224471305,214,1508224471386,215,1508224473798
1508224480157,215,1508224471386,216,1508224480220
1508224493430,216,1508224471386,217,1508224493482
1508224494075,217,1508224471386,218,1508224494154
1508224495132,218,1508224495195,219,1508224497854
1508224498542,219,1508224498589,220,1508224503882
1508224504411,220,1508224504470,221,1508224512349
1508224512913,221,1508224512960,222,1508224518239
1508224518807,222,1508224518859,223,1508224521451
1508224521539,223,1508224521581,222,1508224524268
1508224525018,222,1508224525081,223,1508224527703
1508224528670,223,1508224525081,224,1508224528721
